Rank,Name,City,State,Endowment_millions,Academic staff,Students,Undergraduates,Postgraduates,2014 research spending (thousands)
1,Princeton University,Princeton,NJ,22723.0,1172,8088,5391,2697,293274
2,Harvard University,Cambridge,MA,37600.0,4671,21000,6700,14500,933975
3,Yale University,New Haven,CT,25572.0,4410,12312,5453,6859,772840
4,Stanford University,Stanford,CA,22223.0,2118,15877,6980,8897,959247
4,Columbia University,New York,NY,9639.0,3806,27942,8410,19532,237266
4,University of Chicago,Chicago,IL,7550.0,2205,15312,5724,9588,390082
7,Massachusetts Institute of Technology,Cambridge,MA,13475.0,1021,11319,4512,6807,908017
8,Duke University,Durham,NC,7297.0,3428,14950,6485,8465,1036813
9,University of Pennsylvania,Philadelphia,PA,10134.0,4555,24876,10406,11035,828350
10,Johns Hopkins University,Baltimore,MD,3413.0,0,0,6023,14848,2242478
10,California Institute of Technology,Pasadena,CA,2199.0,300,2255,1001,1254,367182
12,Northwestern University,Evanston,IL,10193.0,3401,21642,9001,12641,645333
12,Dartmouth College,Hanover,NH,4663.0,1081,6298,4289,2009,187681
14,Brown University,Providence,RI,3300.0,736,9073,6320,2230,341531
15,Cornell University,Ithaca,NY,6038.0,1639,21904,14315,7589,883292
15,Washington University in St. Louis,St. Louis,MO,6819.0,3395,14117,7303,6814,664752
15,Vanderbilt University,Nashville,TN,4134.0,4102,12686,6851,5835,683890
18,University of Notre Dame,Notre Dame,IN,10000.0,1241,12179,8448,3731,182228
18,Rice University,Houston,TX,5557.0,665,6623,3879,2744,138536
20,University of California#Berkeley,Berkeley,CA,4045.0,0,38204,27496,10708,744343
21,Emory University,Atlanta,GA,6684.0,13225,14513,7656,6677,558600
21,Georgetown University,Washington,DC,1529.0,2173,17849,7636,10213,172726
23,Carnegie Mellon University,Pittsburgh,PA,1739.0,1423,0,6362,7141,251222
23,University of Southern California,Los Angeles,CA,4710.0,3945,42469,18740,23729,687222
23,University of California#Los Angeles,Los Angeles,CA,3490.0,4016,43301,29585,12323,948197
26,University of Virginia,Charlottesville,VA,7530.0,2102,0,15669,6316,0
27,Wake Forest University,Winston-Salem,NC,1167.0,690,7591,4812,2779,176380
27,Tufts University,Medford,MA,1593.0,1339,10685,5186,5499,160825
29,University of Michigan#Ann Arbor,Ann Arbor,MI,10260.0,6771,43625,28395,15230,1349262
30,Boston College,Chestnut Hill,MA,2220.0,1386,14100,9100,4400,49724
30,University of North Carolina#Chapel Hill,Chapel Hill,NC,2989.0,3696,29084,18415,10669,989766
32,New York University,New York,NY,3576.0,9489,57245,24985,24289,523623
33,University of Rochester,Rochester,NY,2130.0,0,0,5643,4647,353419
34,Brandeis University,Waltham,MA,915.1,361,0,3588,2220,74992
34,College of William and Mary,Williamsburg,VA,811.2,595,8437,6299,2138,0
36,Georgia Institute of Technology,Atlanta,GA,1890.0,5516,25017,15132,9885,725550
37,University of California#Santa Barbara,Santa Barbara,CA,265.9,1102,23497,20607,2890,226693
37,Case Western Reserve University,Cleveland,OH,1760.0,3155,0,4661,5664,419011
39,University of California#San Diego,La Jolla,CA,951.4,1215,33735,26590,7145,5146
