Source: http://ncsesdata.nsf.gov/herd/2014/html/HERD2014_DST_17.html
(Dollars in thousands)																	
Rank	Institution	2005		2006		2007		2008		2009		2010		2011		2012		2013		2014
Johns Hopkins U.a	1,458,426		1,512,066		1,566,392		1,691,469		1,866,243		2,004,482		2,145,308		2,106,185		2,168,568		2,242,478
U. Michigan, Ann Arbor	NA		NA		NA		NA		NA		1,184,445		1,279,123		1,322,711		1,375,117		1,349,262
U. Washington, Seattle	NA		NA		NA		NA		NA		1,022,740		1,148,533		1,109,008		1,192,513		1,176,340
U. Wisconsin-Madison	875,722		904,787		912,219		944,626		1,013,649		1,029,295		1,111,642		1,169,779		1,123,501		1,108,564
U. California, San Francisco	754,444		796,149		842,840		885,182		947,697		935,509		995,226		1,032,673		1,042,841		1,084,031
U. California, San Diego	721,035		757,157		801,823		844,877		883,653		943,219		1,009,378		1,073,864		1,075,554		1,067,388
Duke U.	632,358		658,783		783,784		769,893		807,652		983,289		1,022,207		1,009,911		992,821		1,036,813
U. North Carolina, Chapel Hill	447,984		448,509		484,160		530,515		651,308		755,284		869,174		884,791		973,007		989,766
Stanford U.	728,044		692,263		702,497		698,883		717,022		839,839		907,971		903,238		945,450		959,247
U. California, Los Angeles	785,625		841,352		854,497		904,840		923,916		936,995		982,357		1,003,375		966,659		948,197
Harvard U.	498,219		506,987		493,920		505,832		525,452		583,361		649,774		799,432		1,012,766		933,975
Massachusetts Institute of Technology	597,007		623,343		637,621		682,058		759,649		677,138		723,610		824,130		900,524		908,017
Columbia U. in the City of New York	535,424		529,946		545,996		548,704		604,660		807,235		878,900		889,487		889,188		890,642
Cornell U.	608,811		650,592		645,791		655,641		672,692		749,721		781,651		802,387		845,184		883,292
U. Minnesota, Twin Cities	NA		NA		NA		NA		NA		786,074		847,419		826,173		858,378		876,870
U. Pittsburgh, Pittsburgh	526,458		535,186		564,994		599,800		629,088		822,491		899,386		866,638		872,736		856,806
Texas A&M U., College Station and Health Science Center	494,262		508,787		565,631		604,526		651,923		689,624		705,720		693,421		820,015		854,214
U. Pennsylvania	677,386		696,443		668,105		740,410		758,159		836,322		886,036		847,077		828,422		828,350
Ohio State U.	643,283		663,012		737,324		726,302		743,591		755,194		832,126		766,513		793,373		815,075
Pennsylvania State U., University Park and Hershey Medical Center	NA		NA		NA		NA		NA		770,449		794,846		797,679		837,880		800,773
U. Texas M. D. Anderson Cancer Center	383,780		457,696		496,539		558,503		578,788		599,529		663,279		685,814		718,096		794,980
Yale U.	432,806		462,080		451,318		490,913		512,997		623,510		656,967		656,555		788,784		772,840
U. California, Berkeley	554,551		563,837		570,252		620,374		682,568		694,049		707,945		730,348		727,002		744,343
Georgia Institute of Technology	427,067		444,959		476,138		524,888		565,487		615,833		655,375		688,905		730,488		725,550
U. California, Davis	546,978		576,096		604,512		647,691		687,690		679,915		707,896		713,292		725,734		711,721
U. Florida	564,221		599,749		635,956		632,680		644,241		681,548		739,931		696,985		695,063		708,526
U. Southern California	470,104		475,696		528,466		540,366		556,807		592,791		603,294		623,544		645,636		687,222
Vanderbilt U.	357,141		389,026		415,750		444,873		455,835		504,959		566,031		560,466		571,603		683,890
Washington U., Saint Louis	535,642		551,333		575,846		566,378		630,141		695,974		725,039		706,410		684,847		664,752
Northwestern U.	413,526		449,782		473,060		518,572		555,510		575,078		618,980		631,078		639,781		645,333
Rutgers, State U. New Jersey, New Brunswick	NA		NA		NA		NA		NA		428,432		432,306		434,901		493,320		644,116
U. Illinois, Urbana-Champaign	524,680		494,748		492,347		518,333		581,805		515,133		545,669		583,754		743,487		621,733
U. Arizona	531,898		538,086		533,450		547,197		566,334		586,647		610,565		625,365		629,466		588,088
U. Texas, Austin	453,113		476,958		502,786		553,051		566,166		589,502		632,171		621,538		634,132		585,251
Purdue U., West Lafayette	NA		NA		NA		NA		NA		548,980		578,231		602,501		595,739		564,923
Emory U.	337,154		349,867		412,503		463,317		459,067		529,453		547,316		565,766		575,943		558,600
Michigan State U.	361,807		388,845		395,611		392,242		405,961		431,373		454,248		507,061		515,707		526,906
New York U.	310,014		304,022		319,728		337,093		338,839		365,944		430,752		458,645		471,909		523,623
Virginia Polytechnic Institute and State U.	292,519		325,318		370,805		375,773		399,433		398,169		450,058		454,417		496,169		513,149
Baylor C. of Medicine	458,694		462,375		438,280		449,301		449,031		447,874		466,061		474,700		508,799		496,314
U. South Florida, Tampa	NA		NA		NA		NA		NA		385,029		394,963		443,206		459,409		488,641
U. Utah	246,132		249,719		248,864		254,632		334,002		379,200		414,316		430,056		494,058		486,140
U. Maryland, College Park	362,461		368,989		371,696		405,569		417,365		451,415		495,382		502,406		491,998		485,051
Icahn School of Medicine at Mt. Sinai	225,293		273,216		269,451		296,380		318,407		370,666		405,527		400,680		428,654		463,429
U. Iowa	343,043		356,169		374,905		300,422		334,937		444,034		443,893		446,429		435,377		449,147
North Carolina State U.	302,596		330,936		333,027		367,422		383,193		360,795		378,154		404,225		417,468		446,112
U. Texas Southwestern Medical Center	320,800		333,237		341,090		390,349		402,087		419,220		431,883		435,085		440,620		434,627
U. Alabama, Birmingham	319,840		332,841		352,777		405,731		435,460		489,845		503,698		453,779		440,796		428,563
Arizona State U.	177,426		211,396		238,054		273,532		311,461		329,345		355,215		385,959		405,154		426,651
U. Cincinnati	296,113		304,815		344,526		359,011		369,906		411,269		448,936		433,668		438,642		422,873
Case Western Reserve U.	324,502		374,714		379,347		420,441		418,012		418,164		429,206		431,090		425,788		419,011
SUNY, Polytechnic Institute	na		na		na		na		na		na		na		na		na		412,851
U. Maryland Baltimore	304,396		405,260		358,851		379,407		359,542		374,036		409,665		433,228		429,315		411,268
U. Colorado Denver and Anschutz Medical Campus	253,444		260,292		264,739		269,805		364,659		389,461		417,587		431,977		409,443		411,020
U. Chicago	296,817		308,557		325,161		360,047		381,194		437,721		453,562		419,631		402,621		390,082
SUNY, U. Buffalo	275,334		304,757		323,417		339,575		349,423		349,670		353,172		360,226		387,863		386,562
Scripps Research Institute	330,170		367,375		360,511		366,047		382,275		387,298		400,768		398,673		399,899		386,231
U. Colorado Boulder	265,447		254,805		267,314		272,191		299,892		349,449		390,677		392,004		385,849		379,475
Boston U.	251,198		261,632		253,899		259,045		284,507		352,817		355,916		334,496		368,281		367,328
California Institute of Technology	265,364		270,354		287,343		274,671		345,400		362,172		377,514		379,713		347,105		367,182
U. Virginia, Charlottesville	NA		NA		NA		NA		NA		276,308		398,096		383,359		385,828		358,576
U. Georgia	337,467		342,763		351,935		369,546		369,997		295,339		335,901		351,395		350,225		355,471
U. Rochester	348,278		369,487		377,016		378,368		398,187		414,655		429,034		389,612		389,355		353,419
U. Illinois, Chicago	322,468		337,180		344,815		339,704		347,118		362,939		380,828		388,625		367,848		347,888
U. Miami	211,201		215,491		212,532		244,067		250,339		280,671		323,486		365,301		344,757		345,805
Brown U.	162,919		195,710		175,623		182,596		187,380		335,838		344,090		365,120		361,010		341,531
U. California, Irvine	276,763		306,257		316,178		334,279		336,345		327,594		344,678		350,030		347,773		340,056
U. Kentucky	319,900		337,646		348,835		345,355		360,254		359,944		372,932		360,776		339,764		328,239
Washington State U.	185,282		203,542		213,262		283,086		301,080		304,352		320,510		335,930		341,082		326,414
U. Hawaii, Manoa	230,651		250,694		266,447		271,835		290,707		303,085		318,316		312,311		326,750		324,342
Indiana U.-Purdue U., Indianapolis	NA		NA		NA		NA		NA		296,194		322,617		316,914		332,760		324,261
Rockefeller U.	198,719		215,417		233,917		247,505		252,478		265,750		272,491		292,896		298,474		316,368
Oregon Health and Science U.	266,687		272,174		287,430		301,396		309,675		314,990		334,324		305,530		308,767		314,802
Iowa State U.	215,848		227,585		221,002		228,167		228,526		250,120		267,641		260,995		266,596		313,263
Colorado State U., Fort Collins	244,303		267,453		296,020		302,613		311,720		302,896		330,784		375,919		313,238		307,978
Yeshiva U.	193,104		189,416		192,199		197,311		193,010		314,240		281,334		289,027		271,166		306,826
U. Kansas	208,285		214,768		219,535		227,433		236,544		267,961		274,727		286,262		298,498		301,534
Princeton U.	212,723		195,148		198,945		204,489		212,510		242,570		263,335		275,666		269,908		293,274
Louisiana State U., Baton Rouge	238,813		256,248		266,895		280,081		294,780		289,872		287,841		285,395		283,400		290,076
U. Nebraska, Lincoln	214,053		228,976		229,496		244,869		251,195		191,268		235,296		253,320		266,506		278,299
Uniformed Services U. of the Health Sciences	78,694		67,716		71,307		106,179		192,268		134,126		175,365		143,250		164,232		262,489
U. Connecticut	223,192		225,274		233,774		233,246		232,944		237,908		253,792		256,854		242,251		258,056
U. Oklahoma, Norman and Health Science Center	182,436		186,349		187,454		204,765		213,720		218,089		249,297		240,974		255,674		253,344
Florida State U.	207,968		209,857		211,310		211,557		237,794		227,329		230,411		225,378		250,877		252,548
Carnegie Mellon U.	202,244		213,338		198,139		210,988		217,687		222,790		242,882		255,933		271,277		251,222
Medical U. South Carolina	178,086		176,055		184,624		189,369		216,778		224,632		213,346		236,586		245,451		242,594
U. Massachusetts, Medical School	176,349		156,452		157,469		178,614		204,033		232,039		262,714		256,090		245,923		241,869
U. Missouri, Columbia	234,334		231,170		244,429		251,894		253,527		238,500		230,957		239,810		236,423		237,266
U. Texas Health Science Center, Houston	152,631		175,154		191,724		197,252		217,623		240,772		261,172		236,250		233,256		233,737
