Rank | Name | Tuition | Endowment | Academic staff | Students | Undergraduates | Postgraduates | 2014 research spending (thousands) 
1|Princeton University|$43,450|22.723 billion (2015)|1,172|8,088|5,391|2,697|293,274
2|Harvard University|$45,278|37.6 billion|4,671|21,000|6,700|14,500|933,975
3|Yale University|$47,600|25.572 billion (2015)|4,410|12,312|5,453|6,859|772,840
4|Stanford University|$46,320|22.223 billion (2015)|2,118|15,877|6,980|8,897|959,247
4|Columbia University|$51,008|9.639 billion (2015)|3,806|27,942|8,410|19,532|237,266
4|University of Chicago|$50,193|7.550 billion (2015)|2,205|15,312|5,724|9,588|390,082
7|Massachusetts Institute of Technology|$46,704|13.475 billion (2015)|1,021|11,319|4,512|6,807|908,017
8|Duke University|$49,341|7.297 billion (2015)|3,428|14,950|6,485|8,465|1,036,813
9|University of Pennsylvania|$49,536|10.134 billion (2015)|4,555|24,876|10,406|11,035|828,350
10|Johns Hopkins University|$48,710|3.413 billion (2015)|0|0|6,023|14,848|2,242,478
10|California Institute of Technology|$45,390|2.199 billion (2015)|300|2,255|1,001|1,254|367,182
12|Northwestern University|$49,047|10.193 billion (2015)|3,401|21,642|9,001|12,641|645,333
12|Dartmouth College|$49,506|4.663 billion (2015)|1,081|6,298|4,289|2,009|187,681
14|Brown University|$49,346|3.3 billion (June 30, 2015)|736|9,073|6,320|2,230|341,531
15|Cornell University|$49,116|6.038 billion (2015)|1,639|21,904|14,315|7,589|883,292
15|Washington University in St. Louis|$48,093|6.819 billion (2015)|3,395|14,117|7,303|6,814|664,752
15|Vanderbilt University|$43,838|4.134 billion (2015)|4,102|12,686|6,851|5,835|683,890
18|University of Notre Dame|$47,929|10 billion|1,241|12,179|8,448|3731|182,228
18|Rice University|$42,253|5.557 billion (2015)|665|6,623|3,879|2,744|138,536
20|University of California#Berkeley|in-state: $13,432, out-of-state: $38,140|4.045 billion (2015)|0|38,204|27,496|10,708|744,343
21|Emory University|$46,314|6.684 billion (2015)|13,225|14,513|7,656|6,677|558,600
21|Georgetown University|$48,611|1.529 billion (2015)|2,173|17,849|7,636|10,213|172,726
23|Carnegie Mellon University|$50,410|1.739 billion (2015)|1,423|0|6,362|7,141|251,222
23|University of Southern California|$50,210|4.710 billion (2015)|3,945|42,469|18,740|23,729|687,222
23|University of California#Los Angeles|in-state: $12,753, out-of-state: $35,631|3.49 billion (2015)|4,016|43,301|29,585|12,323|948,197
26|University of Virginia|in-state: $14,526, out-of-state: $43,822|7.53 billion (2015)|2,102|0|15,669|6,316|0
27|Wake Forest University|$47,682|1.167 billion (2015)|690|7,591|4,812|2,779|176,380
27|Tufts University|$50,604|1.593 billion (2015)|1,339|10,685|5,186|5,499|160,825
29|University of Michigan#Ann Arbor|in-state: $14,336, out-of-state: $43,377|10.26 billion|6,771|43,625|28,395|15,230|1,349,262
30|Boston College|$49,324|2.220 billion (2015)|1,386|14,100|9,100|4,400|49,724
30|University of North Carolina#Chapel Hill|in-state: $8,562, out-of-state: $33,644|2.989 billion (2015)|3,696|29,084|18,415|10,669|989,766
32|New York University|$46,170|3.576 billion (2015)|9,489|57,245|24,985|24,289|523,623
33|University of Rochester|$48,290|2.13 billion (2014)|0|0|5,643|4,647|353,419
34|Brandeis University|$49,598|915.1 million (2015)|361|0|3,588|2,220|74,992
34|College of William and Mary|in-state: $16,919, out-of-state: $40,516|811.2 million|595|8,437|6,299|2,138|0
36|Georgia Institute of Technology|in-state: $12,204, out-of-state: $32,396|1.89 billion (Fall 2014)|5,516|25,017|15,132|9,885|725,550
37|University of California#Santa Barbara|in-state: $13,865, out-of-state: $38,573|265.9 million (2015)|1,102|23,497|20,607|2,890|226,693
37|Case Western Reserve University|$44,560|1.76 billion (2015)|3,155|0|4,661|5,664|419,011
39|University of California#San Diego|in-state: $14,042, out-of-state: $38,066|951.4 million (2015)|1,215|33,735|26,590|7,145|5,146
39|University of California#Irvine|in-state: $14,577, out-of-state: $37,455|504.3 million (2015)|2,685|31,551|25,256|6,295|340,056
41|Rensselaer Polytechnic Institute|$49,341|676.5 million (FY2015)|440|7,028|5,557|1,204|105,608
41|University of California#Davis|in-state: $13,951, out-of-state: $38,659|1.014 billion (2015)|2,450|36,104|28,384|7,720|711,721
41|Boston University|$48,436|1.644 billion (2015)|3,888|33,421|16,512|14,032|367,328
41|Tulane University|$49,638|1.220 billion (2015)|1,180|13,449|8,339|5,110|157,825
41|University of Illinois#Urbana-Champaign|in-state: $15,626, out-of-state: $30,786|3.3 billion|2,548|44,087|32,878|11,209|621,733
47|Northeastern University|$45,530|729.4 million (2015)|1,660|24,944|17,990|6,954|116,245
47|University of Florida|in-state: $6,313, out-of-state: $28,591|1.55 billion (2015)|5,106|49,042|32,781|15,754|708,526
47|Lehigh University|$46,230|1.213 billion (2015)|0|0|4,904|2,057|37,066
47|Pennsylvania State University#University Park|in-state: $17,514, out-of-state: $31,346|3.64 billion (2015, systemwide)|8,864|97,494|83,436|14,058|828,350
51|University of Miami|$45,724|887.3 million|3,040|16,774|10,917|5,501|21,216
52|Pepperdine University|$48,342|805.2 million (2015)|705|7,632|3,533|4,099|2,401
52|University of Washington|in-state: $12,394, out-of-state: $33,513|3.076 billion (2015)|5,803|45,213|31,099|14,114|0
52|Ohio State University#Columbus|in-state: $10,037, out-of-state: $26,537|3.634 billion (2015)|6,254|58,322|44,741|13,581|60,800
52|University of Texas#Austin|in-state: $9,830, out-of-state: $34,836|3.27 billion (December 31, 2015)|3,071|51,313|39,523|11,790|585,251
52|Yeshiva University|$39,530|1.1258 billion|4,714|0|3,017|3,496|306,826
57|George Washington University|$50,435|1.616 billion (2015)|2,663|21,409|0|0|227,995
57|University of Maryland#College Park|in-state: $9,996, out-of-state: $31,144|283.1 million (2015)|4,509|38,140|27,443|10,697|485,051
57|University of Connecticut|in-state: $13,364, out-of-state: $34,908|436.9 million|4,624|31,119|18,395|8,146|258,056
57|Worcester Polytechnic Institute|$45,590|443.1 million|324|0|4,123|1,734|29,929
